Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Yorkwoods PS,0.1,0,20,"43.7504886,-79.51414740000001"
Topcliff PS,0.266666667,0,900,"43.75546190000001,-79.50870069999996"
Irving W Chapley Community Centre,0.308333333,0,81,"43.7620832,-79.4556217"
Victoria Village PS,0.357142857,0,90,"43.7356844,-79.31433909999998"
Berner Trail Community Centre,0.375,0,27,"43.8013887,-79.2209714"
Roywood Park,0.466666667,0,49,"43.7643999,-79.32384680000001"
George Anderson Public School,0.5,0,1110,"43.7053384,-79.47917710000002"
St. Dunstan CS,0.5,0,720,"43.69351899999999,-79.28413690000002"
Holy Family Community Centre,0.530311581,6,2322,"43.6394148,-79.4350498"
George B Little Junior Elementary School,0.53125,0,153,"43.7709734,-79.20739889999999"
Fairfield Seniors' Centre,0.5625,0,306,"43.6395271,-79.51941820000002"
Edenbridge Seniors Centre,0.575,0,751,"43.6773759,-79.51010629999996"
Banbury Community Centre,0.583333333,2,189,"43.7418999,-79.36943500000001"
Humbercrest United Church,0.590909091,0,234,"43.658189,-79.49024959999997"
Maple Leaf Cottage,0.6,1,180,"43.794277,-79.29488049999998"
Seneca Village Community Centre,0.627011494,5,2051,"43.7940309,-79.351132"
Roywood Park RC,0.633333333,0,513,"43.7643999,-79.32384680000001"
Berner Trail Junior Elementary School,0.64,3,1152,"43.8013887,-79.2209714"
Gower Park Place,0.65,0,393,"43.70247,-79.2981385"
Calico PS,0.65,1,1548,"43.738294,-79.50395650000002"
St. Teresa Shrine CS,0.65,0,936,"43.7151365,-79.24264800000003"
Regent Park South Community Centre,0.655357143,28,2064,"43.65938389999999,-79.3623078"
East York Memorial Arena,0.664141414,0,531,"43.6972175,-79.31469119999997"
Curran Hall Community Centre,0.67518315,12,972,"43.77847389999999,-79.21162950000002"
Thistletown Community Centre,0.682602339,59,4907,"43.73564440000001,-79.5635049"
Humbercrest ES,0.683333333,6,837,"43.6603304,-79.49095249999999"
Central Arena,0.699382716,0,954,"43.6479023,-79.51853979999999"
Dentonia Park,0.7,0,63,"43.6920283,-79.29109389999996"
Heather Heights Elementary School,0.7,0,63,"43.7753582,-79.21462600000001"
Lawrence Heights Community Centre,0.718760684,81,9102,"43.7178736,-79.44190759999998"
Adam Beck Community Centre,0.719595865,23,5748,"43.6820169,-79.2886282"
Driftwood Community Recreation Centre,0.731280193,36,8026,"43.7652519,-79.51853979999999"
Willow Park ES,0.75,1,1080,"43.7610204,-79.21004299999998"
Wallace-Emerson Community Centre,0.751602564,19,6258,"43.66683219999999,-79.43962169999998"
Vaughan Road Academy,0.751774691,68,4455,"43.6913405,-79.43698410000002"
Stilecroft PS,0.751785714,0,279,"43.7510699,-79.49323709999999"
Balmy Beach Community Recreation Centre,0.755357143,3,1287,"43.6764859,-79.2896849"
Northwood Community Centre,0.756428571,15,1898,"43.7444183,-79.49973920000002"
Wellesley Community Centre,0.761111111,91,6113,"43.6678691,-79.3745381"
Roding Community Centre,0.762114899,1,6521,"43.7265239,-79.49358860000001"
Trace Manes Park Community Centre,0.762394958,9,1093,"43.7055724,-79.36732330000001"
Tredway Woodsworth Public School,0.7625,0,3528,"43.7662941,-79.23595169999999"
Sir Wilfrid Laurier Collegiate Institute,0.762828947,31,1908,"43.74570079999999,-79.19364819999998"
Ourland Community Centre,0.766,2,602,"43.6155335,-79.50870069999996"
Warden Hilltop Community Centre,0.772811625,97,6463,"43.7161436,-79.28219939999997"
Kingsview Village CS,0.773873874,37,2929,"43.6977392,-79.55086069999999"
CW Jefferys Collegiate Institute,0.77457265,212,3355,"43.7576416,-79.50026639999999"
Oakridge Community Recreation Centre,0.774824561,134,3669,"43.6945218,-79.28299199999998"
Shoreham Park,0.775,0,558,"43.7699874,-79.51853979999999"
Goulding Community Centre,0.776666667,90,4905,"43.7908924,-79.42186019999997"
Earl Bales Community Centre,0.785470085,31,3239,"43.752227,-79.432412"
Hilltop Community School,0.786855396,10,2864,"43.6894687,-79.5318911"
Sir Oliver Mowat Collegiate Institute,0.78815261,28,3547,"43.7794929,-79.14180049999999"
Humberwood Community Centre,0.790081585,22,4253,"43.72888529999999,-79.61897799999997"
Victoria Village Arena,0.791304348,47,3294,"43.720884,-79.31909300000001"
Ken Cox Community Centre,0.791428996,6,2727,"43.5909744,-79.51608010000001"
Burrows Hall Community Centre,0.802592593,42,4349,"43.7923793,-79.23348450000003"
Parkway Forest Community Centre,0.802930403,217,7490,"43.7785175,-79.34655570000001"
Northview Heights SS,0.808537207,208,6453,"43.7745166,-79.44612760000001"
Lester B. Pearson Collegiate Institute,0.808939394,112,6210,"43.8034669,-79.22573009999996"
Don Valley JH,0.811111111,6,900,"43.7896299,-79.35465210000001"
Glen Long Community Centre,0.811858178,8,2610,"43.7089778,-79.45614920000003"
Tall Pines Community Centre,0.8125,3,1008,"43.7986994,-79.1509729"
O'Connor Community Centre,0.813498498,169,8458,"43.7188944,-79.3011323"
Habitant Arena,0.818333333,10,684,"43.74845029999999,-79.538566"
Park Lawn Rink,0.818371212,69,1760,"43.6392292,-79.49534599999998"
York Mills Collegiate Institute,0.819880952,30,3753,"43.751768,-79.37365829999999"
West Rouge Community Centre,0.820416667,47,1584,"43.7914676,-79.1248645"
Carmine Stefano Community Centre,0.821373898,34,4590,"43.7258122,-79.53716079999998"
Ellesmere Community Centre,0.823538557,103,9075,"43.7607276,-79.29901899999999"
Chalkfarm Community Centre,0.826268116,13,11678,"43.7242326,-79.51203909999998"
McGregor Park Community Centre,0.827793651,164,8163,"43.7471605,-79.28070220000001"
Port Union Community Recreation Centre,0.827916667,30,1719,"43.7805404,-79.14038929999998"
Douglas Snow Aquatic Centre,0.828532149,387,19928,"43.7674564,-79.41324200000003"
North Toronto Memorial Community Centre,0.829143389,407,12647,"43.7061669,-79.40532659999997"
Georges Vanier Secondary School,0.829796512,53,4851,"43.7843046,-79.35148400000003"
Terry Fox Recreation Centre,0.830952381,6,5328,"43.6878307,-79.30940880000003"
Cummer Park Community Centre,0.833061889,253,17371,"43.79916619999999,-79.37119469999999"
Glamorgan JES,0.833333333,6,450,"43.77103820000001,-79.28915660000001"
Sir Adam Beck JS,0.833333333,5,210,"43.6012496,-79.54857749999996"
Masaryk- Cowan Community Centre,0.833333333,231,8592,"43.63981159999999,-79.4329396"
L'Amoreaux  CI,0.835298103,98,6507,"43.8027441,-79.31803660000003"
Pleasantview Community Centre,0.836066468,69,7265,"43.78748239999999,-79.33652219999999"
Joseph J. Piccininni Community Centre,0.83676822,561,21613,"43.6744016,-79.4524571"
Albert Campbell Collegiate Institute,0.838251366,84,7155,"43.8097193,-79.27295170000002"
Domenico DiLuca Community Centre,0.842279412,19,3492,"43.7419,-79.51572870000001"
