Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Fairfield Seniors' Centre,0.38,0,259,"43.6395271,-79.51941820000002"
Vaughan Road Academy,0.76,84,4644,"43.6913405,-79.43698410000002"
CW Jefferys Collegiate Institute,0.78,218,3535,"43.7576416,-79.50026639999999"
Sir Oliver Mowat Collegiate Institute,0.78,28,4140,"43.7794929,-79.14180049999999"
Sir Wilfrid Laurier Collegiate Institute,0.79,31,1575,"43.74570079999999,-79.19364819999998"
Lester B. Pearson Collegiate Institute,0.80,128,6840,"43.8034669,-79.22573009999996"
Northview Heights SS,0.81,110,3420,"43.7745166,-79.44612760000001"
York Mills Collegiate Institute,0.82,30,3933,"43.751768,-79.37365829999999"
Albert Campbell Collegiate Institute,0.82,102,7659,"43.8097193,-79.27295170000002"
L'Amoreaux  CI,0.82,109,6804,"43.8027441,-79.31803660000003"
Georges Vanier Secondary School,0.83,25,4644,"43.7843046,-79.35148400000003"
Cummer Park Community Centre,0.84,253,15641,"43.79916619999999,-79.37119469999999"
West Hill Collegiate Institute,0.84,31,4473,"43.7761961,-79.1908272"
Bendale Business Technical Institute,0.85,72,2817,"43.755163,-79.26520049999999"
Douglas Snow Aquatic Centre,0.85,444,21168,"43.7674564,-79.41324200000003"
S.H. Armstrong Community Centre,0.85,53,2080,"43.66623620000001,-79.32243829999999"
Victoria Park SS,0.85,28,4001,"43.7557513,-79.32155799999998"
The Elms Community School,0.86,1815,7770,"43.72223289999999,-79.55296820000001"
Cedarbrae Collegiate Institute,0.86,94,2997,"43.7568108,-79.22643499999998"
Wexford Collegiate Institute,0.86,148,4977,"43.7460707,-79.30676740000001"
North Toronto Memorial Community Centre,0.86,372,8084,"43.7061669,-79.40532659999997"
Gordon A Brown Middle School,0.87,16,1788,"43.7076112,-79.30553479999998"
Brown Community Centre,0.87,55,2070,"43.6848973,-79.40128070000003"
John Innes Community Recreation Centre,0.88,140,2376,"43.6549206,-79.37084279999999"
DA Morrison Junior High School,0.88,53,3396,"43.6951411,-79.31152179999998"
Bedford Park Community Centre,0.89,81,2763,"43.72772459999999,-79.39987339999999"
Runnymede Collegiate Institute,0.89,123,4419,"43.6636272,-79.48972229999998"
St. Lawrence Community Recreation Centre,0.89,136,1980,"43.6497792,-79.3650356"
Jimmie Simpson Recreation Centre,0.89,295,4299,"43.661372,-79.34479549999998"
Mary McCormick Recreation Centre,0.90,202,6252,"43.64726100000001,-79.43329130000001"
Earl Beatty Community Centre,0.90,104,3739,"43.6864888,-79.32032549999997"
Dennis R.Timbrell Resource Centre,0.90,827,4599,"43.7180138,-79.33185709999998"
Joseph J. Piccininni Community Centre,0.90,470,6985,"43.6744016,-79.4524571"
Parkdale Community Recreation Centre,0.91,140,4781,"43.6464011,-79.43839079999998"
Toronto Pan Am Sports Centre,0.91,731,17975,"43.791578,-79.19400080000003"
Agincourt Recreation Centre,0.91,494,18969,"43.7880426,-79.27506549999998"
Gus Ryder Pool And Health Club,0.91,220,7110,"43.6002393,-79.52152639999997"
Alderwood Pool,0.91,263,6147,"43.6017142,-79.54717249999999"
Leaside Memorial Gardens Pool,0.91,388,7398,"43.7020811,-79.36010799999997"
Nelson A. Boylen Collegiate Institute,0.92,94,5667,"43.7175035,-79.49534599999998"
Hillcrest Community Centre,0.92,143,2637,"43.6727097,-79.4056784"
Scadding Court Community Centre,0.92,145,3651,"43.6509638,-79.40462300000002"
Centennial Recreation Centre - Etobicoke,0.92,206,5841,"43.6909825,-79.47777099999996"
Beaches Recreation Centre,0.92,273,5594,"43.674287,-79.29778629999998"
Humber Community Pool - Indoor Pool,0.92,214,5130,"43.7287136,-79.60739460000002"
Fairmount Park Community Centre,0.93,133,4777,"43.6761778,-79.31469119999997"
Birchmount Community Centre,0.93,822,13158,"43.69528589999999,-79.26132469999999"
Swansea Community Recreation Centre,0.93,196,8800,"43.64396319999999,-79.4775952"
Matty Eckler Recreation Centre,0.94,339,5646,"43.6680898,-79.33898669999996"
Annette Community Recreation Centre,0.94,452,5849,"43.6551041,-79.45940150000001"
Etobicoke Olympium,0.94,670,12962,"43.6518106,-79.5835212"
Regent Park Aquatic Centre,0.94,1376,7572,"43.6542599,-79.36063589999998"
East York Community Centre,0.94,309,7057,"43.6909001,-79.34910789999998"
Trinity Community Recreation Centre,0.95,332,8237,"43.6480604,-79.41482500000001"
Antibes Community Centre,0.96,1029,7563,"43.7810253,-79.44691879999999"
Memorial Pool And Health Club,0.96,1290,21833,"43.6479023,-79.51853979999999"
Albion Pool And Health Club,0.96,373,7577,"43.7398859,-79.58387240000002"
Frankland Community Centre,0.96,391,4266,"43.6771192,-79.34989989999997"
Norseman Community School And Pool,0.97,498,11001,"43.6345864,-79.51572870000001"
Emery Collegiate Institute,0.98,426,3825,"43.74845029999999,-79.538566"
Main Square Community Centre,0.98,272,9375,"43.6866214,-79.3005159"
Weston CI,1.04,137,3519,"43.7084321,-79.51138019999996"
Centennial Recreation Centre-Scarborough,1.13,2204,8896,"43.7733929,-79.23595169999999"
