Course,Location,Utilization Rate,Course Waitlist,Visits,Coordinates
Adventure Camp,Birkdale Community Centre,1,0,136,"43.7682116,-79.26396729999999"
Adventure Camp,Centennial Recreation Centre-Scarborough,0.909091,83,150,"43.7733929,-79.23595169999999"
Adventure Camp,Main Square Community Centre,0.925926,1,100,"43.6866214,-79.3005159"
Adventure Camp,Matty Eckler Recreation Centre,0.833333,0,100,"43.6680898,-79.33898669999996"
Adventure Camp,Oakridge Community Recreation Centre,0.925,4,37,"43.6945218,-79.28299199999998"
Adventure Camp,Oakridge Community Recreation Centre,0.975,8,39,"43.6945218,-79.28299199999998"
Adventure Camp,Amesbury Community Centre,0.666667,0,60,"43.7065208,-79.48234079999997"
Adventure Camp,Secord Community Centre,0.966667,8,232,"43.6922353,-79.3011323"
Adventure Camp,Oakridge Community Recreation Centre,0.925,3,37,"43.6945218,-79.28299199999998"
Adventure Camp,Oakridge Community Recreation Centre,0.95,16,38,"43.6945218,-79.28299199999998"
Adventure Camp,Oakridge Community Recreation Centre,0.875,8,35,"43.6945218,-79.28299199999998"
Adventure Camp,Oakridge Community Recreation Centre,0.975,0,39,"43.6945218,-79.28299199999998"
Adventure Camp,Jimmie Simpson Recreation Centre,0.95,24,152,"43.661372,-79.34479549999998"
Adventure Camp,Centennial Recreation Centre-Scarborough,0.909091,139,200,"43.7733929,-79.23595169999999"
Adventure Camp,East York Community Centre,0.933333,0,84,"43.6909001,-79.34910789999998"
Adventure Camp,Dennis R.Timbrell Resource Centre,0.75,32,180,"43.7180138,-79.33185709999998"
Adventure Camp,Dennis R.Timbrell Resource Centre,1,45,240,"43.7180138,-79.33185709999998"
