Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Maryvale Park - Outdoor Pool,0.404761905,0,135,"43.75258160000001,-79.30676740000001"
Centennial Park Ski Chalet,0.46031746,9,281,"43.6556289,-79.58633020000002"
Broadacres Park,0.480555556,15,956,"43.64854,-79.57052870000001"
East York Memorial Arena,0.5,0,30,"43.6972175,-79.31469119999997"
Port Union Community Recreation Centre,0.5,0,30,"43.7805404,-79.14038929999998"
Trace Manes Park Community Centre,0.505787037,4,863,"43.7055724,-79.36732330000001"
DA Morrison Junior High School,0.549275362,0,796,"43.6951411,-79.31152179999998"
Gihon Spring Outdoor Pool,0.560416667,3,517,"43.7544748,-79.5944055"
Pine Point Park - Outdoor Pool,0.581862745,4,998,"43.7142206,-79.53997119999997"
Knob Hill Park,0.583333333,1,189,"43.74242230000001,-79.25410110000001"
Blantyre Park,0.623188406,2,711,"43.6795695,-79.27841230000001"
Smithfield Park - Outdoor Pool,0.628333333,0,486,"43.7486814,-79.59580979999998"
Bedford Park Community Centre,0.665541667,113,3337,"43.72772459999999,-79.39987339999999"
Westmount Park - Outdoor Pool,0.666111111,3,1256,"43.7724257,-79.25771299999997"
Amesbury Park,0.690053763,38,2020,"43.7065208,-79.48234079999997"
Baycrest Park,0.69047619,12,2183,"43.7199411,-79.45298459999998"
Earl Beatty Community Centre,0.692771084,17,3331,"43.6864888,-79.32032549999997"
North Toronto Memorial Community Centre,0.69647541,190,9786,"43.7061669,-79.40532659999997"
John G. Althouse CS,0.697209119,41,3966,"43.66795159999999,-79.55419749999999"
Amesbury Sports Complex,0.7,0,200,"43.7053977,-79.48620740000001"
York Mills Collegiate Institute,0.701295518,16,4954,"43.751768,-79.37365829999999"
Coleman Park,0.705357143,38,1859,"43.6897638,-79.2984907"
Claireville Day Camp,0.705738221,15,6590,"43.7445154,-79.74524509999998"
Runnymede Collegiate Institute,0.71202381,17,3304,"43.6636272,-79.48972229999998"
Amos Waites Park - Outdoor Pool,0.712797619,3,989,"43.6136464,-79.48831640000003"
Ourland Park - Outdoor Pool,0.715327381,4,1586,"43.6155335,-79.50870069999996"
Kiwanis Outdoor Pool,0.718396226,11,1881,"43.6988304,-79.3145151"
Riverdale Park East,0.720528455,6,1026,"43.6746186,-79.35799609999998"
