Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Maryvale Park - Outdoor Pool,0.404761905,0,135,"43.75258160000001,-79.30676740000001"
DA Morrison Junior High School,0.549275362,0,796,"43.6951411,-79.31152179999998"
Gihon Spring Outdoor Pool,0.560416667,3,517,"43.7544748,-79.5944055"
Knob Hill Park,0.583333333,1,189,"43.74242230000001,-79.25410110000001"
Bedford Park Community Centre,0.595555556,12,1089,"43.72772459999999,-79.39987339999999"
Pine Point Park - Outdoor Pool,0.605092593,4,1015,"43.7142206,-79.53997119999997"
S.H. Armstrong Community Centre,0.608333333,3,709,"43.66623620000001,-79.32243829999999"
Blantyre Park,0.623188406,2,711,"43.6795695,-79.27841230000001"
Smithfield Park - Outdoor Pool,0.628333333,0,486,"43.7486814,-79.59580979999998"
Earl Beatty Community Centre,0.639259259,11,2134,"43.6864888,-79.32032549999997"
Brown Community Centre,0.653107345,3,1161,"43.6848973,-79.40128070000003"
Westmount Park - Outdoor Pool,0.666111111,3,1256,"43.7724257,-79.25771299999997"
Beaches Recreation Centre,0.687955729,21,3405,"43.674287,-79.29778629999998"
York Mills Collegiate Institute,0.70522541,17,5115,"43.751768,-79.37365829999999"
North Toronto Memorial Community Centre,0.707142857,194,6504,"43.7061669,-79.40532659999997"
Amos Waites Park - Outdoor Pool,0.712797619,3,989,"43.6136464,-79.48831640000003"
Kiwanis Outdoor Pool,0.718396226,11,1881,"43.6988304,-79.3145151"
Hillcrest Community Centre,0.727741935,7,2163,"43.6727097,-79.4056784"
Riverdale Park East,0.733527132,6,1044,"43.6746186,-79.35799609999998"
Ourland Park - Outdoor Pool,0.734305556,4,1622,"43.6155335,-79.50870069999996"
Rotary Peace Park - Outdoor Pool,0.736342593,10,2753,"43.5944528,-79.5071193"
Richmond Gardens Outdoor Pool,0.736488673,12,2368,"43.6828621,-79.54383539999998"
Runnymede Collegiate Institute,0.740388548,19,3716,"43.6636272,-79.48972229999998"
West Deane Park - Outdoor Pool,0.740609453,4,2288,"43.6604251,-79.56104640000001"
Gus Ryder Pool And Health Club,0.746096491,42,3477,"43.6002393,-79.52152639999997"
Eringate Park - Outdoor Pool,0.756879845,5,2238,"43.6625619,-79.58106329999998"
Sir Oliver Mowat Collegiate Institute,0.757809224,29,6132,"43.7794929,-79.14180049999999"
Wedgewood Park - Outdoor Pool,0.768090278,10,3064,"43.645155,-79.54664559999998"
Northview Heights SS,0.773883929,143,5040,"43.7745166,-79.44612760000001"
Lester B. Pearson Collegiate Institute,0.784455128,240,10530,"43.8034669,-79.22573009999996"
Sunnyside - Gus Ryder Outdoor Pool,0.789800995,11,1715,"43.6374204,-79.45825880000001"
Scadding Court Community Centre,0.791100324,145,5002,"43.6509638,-79.40462300000002"
CW Jefferys Collegiate Institute,0.792592593,227,6372,"43.7576416,-79.50026639999999"
St. Lawrence Community Recreation Centre,0.795114943,116,2250,"43.6497792,-79.3650356"
Parkdale Community Recreation Centre,0.797429654,40,3108,"43.6464011,-79.43839079999998"
Westgrove Park - Outdoor Pool,0.799726776,15,2079,"43.68228970000001,-79.56982629999999"
West Mall Outdoor Pool - Outdoor Pool,0.805985915,7,1888,"43.64103069999999,-79.56631440000001"
L'Amoreaux  CI,0.806058429,106,8519,"43.8027441,-79.31803660000003"
Norseman Community School And Pool,0.810801887,87,7122,"43.6345864,-79.51572870000001"
Cummer Park Community Centre,0.814968153,164,14654,"43.79916619999999,-79.37119469999999"
Vaughan Road Academy,0.817403044,15,3451,"43.6913405,-79.43698410000002"
Bendale Business Technical Institute,0.817670683,67,3804,"43.755163,-79.26520049999999"
Albert Campbell Collegiate Institute,0.820549242,198,9729,"43.8097193,-79.27295170000002"
Nelson A. Boylen Collegiate Institute,0.821509434,50,4897,"43.7175035,-79.49534599999998"
Joseph J. Piccininni Community Centre,0.821568627,165,4864,"43.6744016,-79.4524571"
Wexford Collegiate Institute,0.82282967,92,4326,"43.7460707,-79.30676740000001"
Douglas Snow Aquatic Centre,0.824499592,419,17649,"43.7674564,-79.41324200000003"
West Hill Collegiate Institute,0.82650463,86,6923,"43.7761961,-79.1908272"
Lambton-Kingsway Outdoor Pool,0.827777778,42,3695,"43.6580361,-79.5078221"
Swansea Community Recreation Centre,0.832416667,56,3578,"43.64396319999999,-79.4775952"
Centennial Recreation Centre - Etobicoke,0.841561905,122,5598,"43.6909825,-79.47777099999996"
Annette Community Recreation Centre,0.841890681,73,5389,"43.6551041,-79.45940150000001"
John Innes Community Recreation Centre,0.842929293,51,981,"43.6549206,-79.37084279999999"
Main Square Community Centre,0.845704134,220,4823,"43.6866214,-79.3005159"
Monarch Park,0.848252688,25,2160,"43.6781625,-79.32789600000001"
Georges Vanier Secondary School,0.849782338,103,7038,"43.7843046,-79.35148400000003"
Agincourt Recreation Centre,0.856221719,833,21129,"43.7880426,-79.27506549999998"
Victoria Park SS,0.858156028,52,4905,"43.7557513,-79.32155799999998"
Matty Eckler Recreation Centre,0.85862543,80,2658,"43.6680898,-79.33898669999996"
Trinity Community Recreation Centre,0.858988095,89,4296,"43.6480604,-79.41482500000001"
Mary McCormick Recreation Centre,0.859758772,78,3238,"43.64726100000001,-79.43329130000001"
Humber Community Pool - Indoor Pool,0.862510693,248,7811,"43.7287136,-79.60739460000002"
Greenwood Park,0.865625,20,1314,"43.6684952,-79.32675169999999"
The Elms Community School,0.867127496,1199,10309,"43.72223289999999,-79.55296820000001"
Heron Park Community Centre,0.867295597,66,2522,"43.7680142,-79.17636879999998"
Alderwood Pool,0.871080508,64,6076,"43.6017142,-79.54717249999999"
