Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Maryvale Park - Outdoor Pool,0.404761905,0,135,"43.75258160000001,-79.30676740000001"
DA Morrison Junior High School,0.549275362,0,796,"43.6951411,-79.31152179999998"
Gihon Spring Outdoor Pool,0.560416667,3,517,"43.7544748,-79.5944055"
Pine Point Park - Outdoor Pool,0.581862745,4,998,"43.7142206,-79.53997119999997"
Knob Hill Park,0.583333333,1,189,"43.74242230000001,-79.25410110000001"
Bedford Park Community Centre,0.586363636,12,"1,080","43.72772459999999,-79.39987339999999"
S.H. Armstrong Community Centre,0.608333333,3,709,"43.66623620000001,-79.32243829999999"
Brown Community Centre,0.620987654,3,"1,116","43.6848973,-79.40128070000003"
Blantyre Park,0.623188406,2,711,"43.6795695,-79.27841230000001"
Smithfield Park - Outdoor Pool,0.628333333,0,486,"43.7486814,-79.59580979999998"
Earl Beatty Community Centre,0.64600939,11,"2,098","43.6864888,-79.32032549999997"
Beaches Recreation Centre,0.661063218,14,"3,249","43.674287,-79.29778629999998"
Westmount Park - Outdoor Pool,0.666111111,3,"1,256","43.7724257,-79.25771299999997"
North Toronto Memorial Community Centre,0.68622449,158,"5,950","43.7061669,-79.40532659999997"
Hillcrest Community Centre,0.697560976,3,"1,980","43.6727097,-79.4056784"
York Mills Collegiate Institute,0.701295518,16,"4,954","43.751768,-79.37365829999999"
Runnymede Collegiate Institute,0.71202381,17,"3,304","43.6636272,-79.48972229999998"
Amos Waites Park - Outdoor Pool,0.712797619,3,989,"43.6136464,-79.48831640000003"
Ourland Park - Outdoor Pool,0.715327381,4,"1,586","43.6155335,-79.50870069999996"
Kiwanis Outdoor Pool,0.718396226,11,"1,881","43.6988304,-79.3145151"
Riverdale Park East,0.720528455,6,"1,026","43.6746186,-79.35799609999998"
Richmond Gardens Outdoor Pool,0.724526515,12,"2,181","43.6828621,-79.54383539999998"
Gus Ryder Pool And Health Club,0.725275229,36,"3,297","43.6002393,-79.52152639999997"
Rotary Peace Park - Outdoor Pool,0.73539604,10,"2,635","43.5944528,-79.5071193"
Wedgewood Park - Outdoor Pool,0.735512232,10,"2,963","43.645155,-79.54664559999998"
St. Lawrence Community Recreation Centre,0.735925926,94,"2,007","43.6497792,-79.3650356"
Eringate Park - Outdoor Pool,0.738645833,5,"2,186","43.6625619,-79.58106329999998"
Sir Oliver Mowat Collegiate Institute,0.747611111,24,"5,885","43.7794929,-79.14180049999999"
West Deane Park - Outdoor Pool,0.747847222,4,"2,149","43.6604251,-79.56104640000001"
Scadding Court Community Centre,0.77641844,78,"4,556","43.6509638,-79.40462300000002"
Lester B. Pearson Collegiate Institute,0.776480924,206,"9,531","43.8034669,-79.22573009999996"
Joseph J. Piccininni Community Centre,0.785166667,151,"4,555","43.6744016,-79.4524571"
Norseman Community School And Pool,0.787994673,83,"6,099","43.6345864,-79.51572870000001"
Douglas Snow Aquatic Centre,0.795580443,369,"16,865","43.7674564,-79.41324200000003"
L'Amoreaux  CI,0.796801075,94,"8,090","43.8027441,-79.31803660000003"
Parkdale Community Recreation Centre,0.797429654,40,"3,108","43.6464011,-79.43839079999998"
Northview Heights SS,0.798798077,131,"4,716","43.7745166,-79.44612760000001"
West Mall Outdoor Pool - Outdoor Pool,0.800362319,7,"1,871","43.64103069999999,-79.56631440000001"
Lambton-Kingsway Outdoor Pool,0.80326087,41,"3,486","43.6580361,-79.5078221"
Cummer Park Community Centre,0.805827703,132,"14,167","43.79916619999999,-79.37119469999999"
CW Jefferys Collegiate Institute,0.806862745,214,"5,976","43.7576416,-79.50026639999999"
John Innes Community Recreation Centre,0.808024691,28,837,"43.6549206,-79.37084279999999"
Vaughan Road Academy,0.809484563,14,"3,155","43.6913405,-79.43698410000002"
Swansea Community Recreation Centre,0.815144231,56,"3,083","43.64396319999999,-79.4775952"
Albert Campbell Collegiate Institute,0.815763052,194,"9,459","43.8097193,-79.27295170000002"
Wexford Collegiate Institute,0.81860119,81,"3,870","43.7460707,-79.30676740000001"
West Hill Collegiate Institute,0.81986715,83,"6,627","43.7761961,-79.1908272"
Bendale Business Technical Institute,0.826458333,65,"3,732","43.755163,-79.26520049999999"
Sunnyside - Gus Ryder Outdoor Pool,0.831896552,11,"1,628","43.6374204,-79.45825880000001"
Nelson A. Boylen Collegiate Institute,0.832092199,43,"4,423","43.7175035,-79.49534599999998"
Monarch Park,0.83494152,25,"2,106","43.6781625,-79.32789600000001"
Trinity Community Recreation Centre,0.842066667,75,"3,909","43.6480604,-79.41482500000001"
Centennial Recreation Centre - Etobicoke,0.842117117,113,"5,143","43.6909825,-79.47777099999996"
Mary McCormick Recreation Centre,0.843560606,63,"2,880","43.64726100000001,-79.43329130000001"
Annette Community Recreation Centre,0.846734893,60,"4,572","43.6551041,-79.45940150000001"
Georges Vanier Secondary School,0.848481912,91,"6,561","43.7843046,-79.35148400000003"
Victoria Park SS,0.858156028,52,"4,905","43.7557513,-79.32155799999998"
Humber Community Pool - Indoor Pool,0.85882734,227,"6,812","43.7287136,-79.60739460000002"
Alderwood Pool,0.859037559,53,"5,707","43.6017142,-79.54717249999999"
Leaside Memorial Gardens Pool,0.860981912,159,"6,611","43.7020811,-79.36010799999997"
Main Square Community Centre,0.861674528,210,"4,013","43.6866214,-79.3005159"
Westgrove Park - Outdoor Pool,0.86404321,15,"1,926","43.68228970000001,-79.56982629999999"
Greenwood Park,0.865625,20,"1,314","43.6684952,-79.32675169999999"
Heron Park Community Centre,0.867295597,66,"2,522","43.7680142,-79.17636879999998"
