Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Yorkwoods PS,0.193333333,0,120,"43.7504886,-79.51414740000001"
Topcliff PS,0.344444444,0,610,"43.75546190000001,-79.50870069999996"
St. Gerald CS,0.366666667,0,539,"43.7803438,-79.32666369999998"
St. Leonard's Church,0.428571429,0,108,"43.7263754,-79.40128070000003"
Holy Family Community Centre,0.439642857,4,2268,"43.6394148,-79.4350498"
Centennial Park - Etobicoke,0.497389558,863,14456,"43.6556289,-79.58633020000002"
Regent Park North Recreation Centre,0.5,0,56,"43.6622008,-79.3623078"
Edenbridge Seniors Centre,0.5,0,48,"43.6773759,-79.51010629999996"
Irving W Chapley Community Centre,0.5,0,54,"43.7620832,-79.4556217"
Earl Bales Ski and Snowboard Centre,0.507949374,1547,10112,"43.752227,-79.432412"
Etobicoke Civic Centre,0.6,9,73,"43.6439337,-79.56561210000001"
Topham Park,0.6,0,54,"43.7113316,-79.3072957"
Sir Wilfrid Laurier Collegiate Institute,0.602083333,2,792,"43.74570079999999,-79.19364819999998"
Trace Manes Park Community Centre,0.614166667,5,1120,"43.7055724,-79.36732330000001"
Curran Hall Community Centre,0.621031746,4,795,"43.77847389999999,-79.21162950000002"
Maple Leaf Cottage,0.633333333,2,171,"43.794277,-79.29488049999998"
Stilecroft PS,0.665,0,270,"43.7510699,-79.49323709999999"
Central Arena,0.665,6,1269,"43.6479023,-79.51853979999999"
Ramsden Park,0.666666667,2,280,"43.6758739,-79.39037350000001"
Balmy Beach Community Recreation Centre,0.669345238,1,1224,"43.6764859,-79.2896849"
Lester B. Pearson Collegiate Institute,0.672031963,2,3456,"43.8034669,-79.22573009999996"
L'Amoreaux  CI,0.676404494,11,3699,"43.8027441,-79.31803660000003"
Humbercrest United Church,0.681818182,0,270,"43.658189,-79.49024959999997"
Douglas Snow Aquatic Centre,0.682240634,60,13831,"43.7674564,-79.41324200000003"
Albert Campbell Collegiate Institute,0.684490741,5,4343,"43.8097193,-79.27295170000002"
Parkdale Community Recreation Centre,0.687162162,17,4673,"43.6464011,-79.43839079999998"
Georges Vanier Secondary School,0.690844298,34,3573,"43.7843046,-79.35148400000003"
Sir Oliver Mowat Collegiate Institute,0.692261905,3,1701,"43.7794929,-79.14180049999999"
Cummer Park Community Centre,0.698128698,63,10193,"43.79916619999999,-79.37119469999999"
Wellesley Community Centre,0.699376417,101,7322,"43.6678691,-79.3745381"
York Mills Collegiate Institute,0.703009259,8,2385,"43.751768,-79.37365829999999"
Secord Community Centre,0.703419346,94,4907,"43.6922353,-79.3011323"
Roywood Park RC,0.711009818,1,1045,"43.7643999,-79.32384680000001"
Gordon A Brown Middle School,0.71127451,0,1026,"43.7076112,-79.30553479999998"
Runnymede Collegiate Institute,0.713149847,24,2934,"43.6636272,-79.48972229999998"
Nelson A. Boylen Collegiate Institute,0.718405797,13,3228,"43.7175035,-79.49534599999998"
Trinity Bellwoods Park,0.718534483,55,1629,"43.6464131,-79.41306609999998"
Cedar Drive JES,0.72,0,882,"43.7463979,-79.21339219999999"
Berner Trail Junior Elementary School,0.72,0,882,"43.8013887,-79.2209714"
DA Morrison Junior High School,0.721153846,8,2563,"43.6951411,-79.31152179999998"
West Hill Collegiate Institute,0.724537037,2,1609,"43.7761961,-79.1908272"
Adam Beck Community Centre,0.726488095,39,6602,"43.6820169,-79.2886282"
Mary McCormick Recreation Centre,0.726892954,85,10055,"43.64726100000001,-79.43329130000001"
Broadlands Community Centre,0.728146259,3,1520,"43.7462809,-79.32155799999998"
Victoria Park SS,0.728177966,8,2601,"43.7557513,-79.32155799999998"
Vaughan Road Academy,0.732134781,10,2690,"43.6913405,-79.43698410000002"
Regent Park South Community Centre,0.7325,60,1302,"43.65938389999999,-79.3623078"
St. Nicholas of Bari CSS,0.733333333,0,1078,"43.68299349999999,-79.4603684"
Earl Beatty Community Centre,0.740147425,100,4914,"43.6864888,-79.32032549999997"
Domenico DiLuca Community Centre,0.740364583,12,2445,"43.7419,-79.51572870000001"
Cedarbrook Community Centre,0.741666667,69,3409,"43.7551026,-79.22713999999996"
Masaryk- Cowan Community Centre,0.747048611,120,5571,"43.63981159999999,-79.4329396"
George B Little Junior Elementary School,0.75,0,216,"43.7709734,-79.20739889999999"
Fairmount Park Community Centre,0.751378505,68,5512,"43.6761778,-79.31469119999997"
Wallace-Emerson Community Centre,0.759513889,50,6445,"43.66683219999999,-79.43962169999998"
McGregor Park Community Centre,0.760080645,26,2337,"43.7471605,-79.28070220000001"
Port Union Community Recreation Centre,0.760869565,29,1751,"43.7805404,-79.14038929999998"
Earl Bales Community Centre,0.762070376,50,4162,"43.752227,-79.432412"
Oakdale Community Centre,0.762415344,68,6985,"43.7487465,-79.51291759999998"
Warden Hilltop Community Centre,0.764793417,121,6278,"43.7161436,-79.28219939999997"
North Toronto Memorial Community Centre,0.76879673,287,13818,"43.7061669,-79.40532659999997"
O'Connor PS,0.770793651,17,4119,"43.7172852,-79.3044782"
Giovanni Caboto,0.773333333,11,280,"43.6744016,-79.4524571"
Wexford Collegiate Institute,0.776797386,13,2430,"43.7460707,-79.30676740000001"
Agincourt Recreation Centre,0.777302171,344,21064,"43.7880426,-79.27506549999998"
Etobicoke Olympium,0.779144943,20,8091,"43.6518106,-79.5835212"
Carmine Stefano Community Centre,0.781535948,22,2057,"43.7258122,-79.53716079999998"
Brown Community Centre,0.782909605,10,1924,"43.6848973,-79.40128070000003"
Antibes Community Centre,0.788345215,530,12903,"43.7810253,-79.44691879999999"
Roding Community Centre,0.788425926,25,6172,"43.7265239,-79.49358860000001"
Humbercrest ES,0.78844697,4,1142,"43.6603304,-79.49095249999999"
Emery Collegiate Institute,0.790909091,55,3006,"43.74845029999999,-79.538566"
