Course,Location,Utilization Rate,Course Waitlist,Visits,Coordinates
Cardio High/Low,Toronto Pan Am Sports Centre,0.12,0,27,"43.791578,-79.19400080000003"
Cardio High/Low,Port Union Community Recreation Centre,0.025,0,460,"43.7805404,-79.14038929999998"
Cardio High/Low,Centennial Recreation Centre-Scarborough,0.8,18,847,"43.7733929,-79.23595169999999"
Yoga: Hatha,Edenbridge Seniors Centre,1.1,1,121,"43.6773759,-79.51010629999996"
Yoga/Pilates Fusion,Edenbridge Seniors Centre,0.6,0,72,"43.6773759,-79.51010629999996"
Yoga: Hatha,Edenbridge Seniors Centre,1,0,120,"43.6773759,-79.51010629999996"
Tai Chi- Beginner,Toronto Pan Am Sports Centre,0.4,0,120,"43.791578,-79.19400080000003"
Pilates,Memorial Pool And Health Club,0.96667,3,324,"43.6479023,-79.51853979999999"
Yoga,Malvern Recreation Centre,1,32,300,"43.8093594,-79.21621240000002"
Step: Advanced,Edithvale Community Centre,0.6,0,132,"43.7771858,-79.42555349999998"
Yoga: Hatha,Edenbridge Seniors Centre,1.1,6,132,"43.6773759,-79.51010629999996"
Gentle Fit,Oakdale Community Centre,1.28,1,352,"43.7487465,-79.51291759999998"
Gentle Fit,Oakdale Community Centre,1.16,0,319,"43.7487465,-79.51291759999998"
Yoga,North Toronto Memorial Community Centre,0.68,0,187,"43.7061669,-79.40532659999997"
Tai Chi: Beginner,Barbara Frum Community Centre,0.64,0,160,"43.7207412,-79.43214820000003"
Yoga,Warden Hilltop Community Centre,0.8125,1,143,"43.7161436,-79.28219939999997"
Osteo Fit,Edenbridge Seniors Centre,0.75,0,108,"43.6773759,-79.51010629999996"
Yoga: Chair,Scarborough Village Recreation Centre,1,15,220,"43.7410772,-79.21656489999998"
Tai Chi - Intermediate,Fairfield Seniors' Centre,0.9,0,81,"43.6395271,-79.51941820000002"
Yoga: Hatha,Fairfield Seniors' Centre,1,6,180,"43.6395271,-79.51941820000002"
Yoga: Hatha,Fairfield Seniors' Centre,1.05,0,189,"43.6395271,-79.51941820000002"
Pilates,Memorial Pool And Health Club,0.4,0,183,"43.6479023,-79.51853979999999"
Yoga: Intermediate,Toronto Pan Am Sports Centre,0.2,0,32,"43.791578,-79.19400080000003"
Yoga - Child,Agincourt Recreation Centre,0.94118,0,160,"43.7880426,-79.27506549999998"
Cardio Mix,John G. Althouse CS,0.86667,0,234,"43.66795159999999,-79.55419749999999"
Yoga: Intermediate,L'Amoreaux Community Recreation Centre,0.75,15,150,"43.812911,-79.30359770000001"
Yoga,Stephen Leacock Community Centre,1,23,200,"43.7870239,-79.30183669999997"
Gentle Fit,Stephen Leacock Seniors Community Centre,0.93333,3,308,"43.7870239,-79.30183669999997"
Stretch & Strength,Stephen Leacock Seniors Community Centre,0.96667,5,319,"43.7870239,-79.30183669999997"
Body Sculpt,Secord Community Centre,0.96667,6,261,"43.6922353,-79.3011323"
Yoga,Driftwood Community Recreation Centre,1.35,6,270,"43.7652519,-79.51853979999999"
Yoga Intermediate,Mitchell Field Community Centre,0.94444,2,170,"43.7746895,-79.40831689999999"
Stretch and Strength,Don Montgomery Community Centre,0.9,0,450,"43.7329285,-79.26167699999996"
Yoga: Hatha,Trace Manes Park Community Centre,0.90476,2,209,"43.7055724,-79.36732330000001"
Yoga:,Douglas Snow Aquatic Centre,0.66667,0,132,"43.7674564,-79.41324200000003"
Yoga,Roding Community Centre,0.75,0,165,"43.7265239,-79.49358860000001"
Gentle Fit,Driftwood Community Recreation Centre,0.7,0,210,"43.7652519,-79.51853979999999"
Gentle Fit,Driftwood Community Recreation Centre,0.6,0,162,"43.7652519,-79.51853979999999"
Yoga: Hatha,Birkdale Community Centre,0.95,0,209,"43.7682116,-79.26396729999999"
Learn to Weight Train,Centennial Recreation Centre-Scarborough,0.875,14,112,"43.7733929,-79.23595169999999"
Yoga - Preschool,Ellesmere Community Centre,0.75,1,66,"43.7607276,-79.29901899999999"
Cardio High/Low,Don Montgomery Community Centre,0.95,6,209,"43.7329285,-79.26167699999996"
Yoga: Chair,Stephen Leacock Seniors Community Centre,1,9,275,"43.7870239,-79.30183669999997"
Yoga,Stephen Leacock Seniors Community Centre,1,6,250,"43.7870239,-79.30183669999997"
Tai Chi,Birkdale Community Centre,0.8,0,185,"43.7682116,-79.26396729999999"
Tai Chi,Heron Park Community Centre,0.93333,11,522,"43.7680142,-79.17636879999998"
Walk Fit,North Kipling Community Centre,1.06667,8,432,"43.7595645,-79.58211670000003"
Step : Intermediate,Mitchell Field Community Centre,0.06667,0,73,"43.7746895,-79.40831689999999"
Step: Beginner,Mitchell Field Community Centre,0.16667,0,84,"43.7746895,-79.40831689999999"
Cardio High/Low,Port Union Community Recreation Centre,0.05,0,470,"43.7805404,-79.14038929999998"
ZUMBA (R) KIDS,Ellesmere Community Centre,0.35,0,63,"43.7607276,-79.29901899999999"
Tai Chi: Wu Style Intermediate-Advanced,North Toronto Memorial Community Centre,0.6,0,165,"43.7061669,-79.40532659999997"
Gentle Fit,Chalkfarm Community Centre,1.05,0,420,"43.7242326,-79.51203909999998"
Gentle Fit,Chalkfarm Community Centre,1.025,0,410,"43.7242326,-79.51203909999998"
