Course,Location,Utilization Rate,Course Waitlist,Visits,Coordinates
Breakfast program,O'Connor Community Centre,0.375,0,570,"43.7188944,-79.3011323"
Breakfast program,O'Connor PS,0.95,8,"1,330","43.7172852,-79.3044782"
Breakfast program,O'Connor Community Centre,0.5,0,800,"43.7188944,-79.3011323"
Preschool Swim 1: Penguin,East York Community Centre,1,0,36,"43.6909001,-79.34910789999998"
Preschool Swim 1: Penguin,East York Community Centre,1,0,36,"43.6909001,-79.34910789999998"
Preschool Swim 2: Stingray,East York Community Centre,1,0,36,"43.6909001,-79.34910789999998"
Preschool Swim 2: Stingray,East York Community Centre,1,0,36,"43.6909001,-79.34910789999998"
Preschool Swim 1: Penguin,East York Community Centre,1,1,36,"43.6909001,-79.34910789999998"
Preschool Swim 2: Stingray,East York Community Centre,0.5,0,18,"43.6909001,-79.34910789999998"
Preschool Swim 2: Stingray,East York Community Centre,0.5,0,18,"43.6909001,-79.34910789999998"
Preschool Swim 1: Penguin,East York Community Centre,0.75,1,27,"43.6909001,-79.34910789999998"
Bronze Medallion & Emergency First Aid (CPR B),Albert Campbell Collegiate Institute,0.9375,5,135,"43.8097193,-79.27295170000002"
Bronze Cross,Albert Campbell Collegiate Institute,0.375,0,54,"43.8097193,-79.27295170000002"
Bronze Medallion & Emergency First Aid (CPR B),Albert Campbell Collegiate Institute,0.5,0,72,"43.8097193,-79.27295170000002"
Bronze Cross,Albert Campbell Collegiate Institute,0.8125,0,117,"43.8097193,-79.27295170000002"
Bronze Cross,L'Amoreaux  CI,0.125,0,16,"43.8027441,-79.31803660000003"
Bronze Medallion & Emergency First Aid (CPR B),L'Amoreaux  CI,0.4375,0,56,"43.8027441,-79.31803660000003"
Bronze Cross,L'Amoreaux  CI,0.25,0,36,"43.8027441,-79.31803660000003"
Bronze Cross,L'Amoreaux  CI,0.3125,0,40,"43.8027441,-79.31803660000003"
Bronze Medallion & Emergency First Aid (CPR B),L'Amoreaux  CI,0.25,0,36,"43.8027441,-79.31803660000003"
Bronze Medallion & Emergency First Aid (CPR B),L'Amoreaux  CI,0.375,0,48,"43.8027441,-79.31803660000003"
Tiny Tots Swim,The Elms Community School,1,1,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,The Elms Community School,1,3,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,The Elms Community School,1,5,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,East York Community Centre,1,2,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,The Elms Community School,1,3,9,"43.72223289999999,-79.55296820000001"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Activity Camp,Driftwood Community Recreation Centre,0.9571,23,335,"43.7652519,-79.51853979999999"
Activity Camp,Driftwood Community Recreation Centre,0.9286,23,325,"43.7652519,-79.51853979999999"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Activity Camp,Driftwood Community Recreation Centre,0.9571,20,335,"43.7652519,-79.51853979999999"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Activity Camp,Driftwood Community Recreation Centre,0.9714,22,340,"43.7652519,-79.51853979999999"
Activity Camp,Driftwood Community Recreation Centre,0.9571,19,335,"43.7652519,-79.51853979999999"
Activity Camp,Driftwood Community Recreation Centre,0.9714,25,272,"43.7652519,-79.51853979999999"
Activity Camp,Driftwood Community Recreation Centre,1.0286,21,288,"43.7652519,-79.51853979999999"
Guardian Swim 1,Agincourt Recreation Centre,0.1,0,9,"43.7880426,-79.27506549999998"
Activity Camp,Driftwood Community Recreation Centre,0.9857,24,345,"43.7652519,-79.51853979999999"
Guardian Swim 1,Agincourt Recreation Centre,0.1,0,9,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Ultra Swim 2,Agincourt Recreation Centre,1,1,72,"43.7880426,-79.27506549999998"
Guardian Swim 1,Agincourt Recreation Centre,0.9,0,72,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,1,1,36,"43.7880426,-79.27506549999998"
Guardian Swim 1,Agincourt Recreation Centre,0.2,0,18,"43.7880426,-79.27506549999998"
Tiny Tots Swim,East York Community Centre,1,0,8,"43.6909001,-79.34910789999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Ultra Swim 3,Agincourt Recreation Centre,0.875,2,63,"43.7880426,-79.27506549999998"
Guardian Swim 1,Agincourt Recreation Centre,0.9,1,81,"43.7880426,-79.27506549999998"
Bronze Medallion & Emergency First Aid (CPR B),Cummer Park Community Centre,0.8333,0,90,"43.79916619999999,-79.37119469999999"
Bronze Medallion & Emergency First Aid (CPR B),Cummer Park Community Centre,0.9167,4,99,"43.79916619999999,-79.37119469999999"
Ultra Swim 1,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Tiny Tots Swim,Agincourt Recreation Centre,1,0,9,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,5,36,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,0.75,3,27,"43.7880426,-79.27506549999998"
Bronze Medallion & Emergency First Aid (CPR B),Bendale Business Technical Institute,0.5625,0,72,"43.755163,-79.26520049999999"
Bronze Medallion & Emergency First Aid (CPR B),Pine Point Park - Outdoor Pool,0.25,0,32,"43.7142206,-79.53997119999997"
Bronze Cross,Bendale Business Technical Institute,0.5625,0,81,"43.755163,-79.26520049999999"
Tennis: Munchkin,L'Amoreaux Tennis Centre,0.4375,0,63,"43.8060827,-79.3064152"
Tennis: Munchkin,L'Amoreaux Tennis Centre,1,1,144,"43.8060827,-79.3064152"
Tennis: Munchkin,L'Amoreaux Tennis Centre,0.4375,0,63,"43.8060827,-79.3064152"
Ultra Swim 4,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Tiny Tots Swim,The Elms Community School,1,1,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,East York Community Centre,1,2,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,The Elms Community School,1,7,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,The Elms Community School,1,3,9,"43.72223289999999,-79.55296820000001"
Tiny Tots Swim,The Elms Community School,1,3,9,"43.72223289999999,-79.55296820000001"
Junior Lifeguard Club,East York Community Centre,1,1,108,"43.6909001,-79.34910789999998"
Tri Private Ultra Swim 1,East York Community Centre,0.6667,1,18,"43.6909001,-79.34910789999998"
Tri Private Ultra Swim 4,East York Community Centre,0.3333,0,9,"43.6909001,-79.34910789999998"
Tri Private Ultra Swim 4,East York Community Centre,1,1,27,"43.6909001,-79.34910789999998"
Tri Private Ultra Swim 4,East York Community Centre,1,0,27,"43.6909001,-79.34910789999998"
Bronze Medallion & Emergency First Aid (CPR B),Wedgewood Park - Outdoor Pool,0.75,0,108,"43.645155,-79.54664559999998"
Preschool Swim 1: Penguin,Nelson A. Boylen Collegiate Institute,1,0,36,"43.7175035,-79.49534599999998"
Bronze Medallion & Emergency First Aid (CPR B),Ourland Park - Outdoor Pool,0.8125,0,117,"43.6155335,-79.50870069999996"
Preschool Swim 2: Stingray,The Elms Community School,1,1,36,"43.72223289999999,-79.55296820000001"
Ultra Swim 7 - Small Group,Annette Community Recreation Centre,0.25,0,9,"43.6551041,-79.45940150000001"
Ultra Swim 4 - Small Group,Annette Community Recreation Centre,1,0,36,"43.6551041,-79.45940150000001"
Ultra Swim 8 - Small Group,Annette Community Recreation Centre,0.5,0,18,"43.6551041,-79.45940150000001"
Bronze Medallion & Emergency First Aid (CPR B),Wedgewood Park - Outdoor Pool,0.3125,0,45,"43.645155,-79.54664559999998"
Preschool Swim 2: Stingray,Nelson A. Boylen Collegiate Institute,1,0,36,"43.7175035,-79.49534599999998"
Ultra Swim 4 - Small Group,Nelson A. Boylen Collegiate Institute,1,0,36,"43.7175035,-79.49534599999998"
Ultra Swim 3 - Small Group,Nelson A. Boylen Collegiate Institute,1,0,36,"43.7175035,-79.49534599999998"
Preschool Swim 3: Otter,Agincourt Recreation Centre,1,2,36,"43.7880426,-79.27506549999998"
Ultra Swim 3 - Small Group,Annette Community Recreation Centre,1,2,36,"43.6551041,-79.45940150000001"
Preschool Swim 2: Stingray,The Elms Community School,0.75,2,27,"43.72223289999999,-79.55296820000001"
Preschool Swim 2: Stingray,The Elms Community School,0.5,0,18,"43.72223289999999,-79.55296820000001"
Preschool Swim 2: Stingray,The Elms Community School,1,3,36,"43.72223289999999,-79.55296820000001"
Bronze Cross,Ourland Park - Outdoor Pool,0.4375,0,63,"43.6155335,-79.50870069999996"
Bronze Medallion & Emergency First Aid (CPR B),Ourland Park - Outdoor Pool,0.5,0,72,"43.6155335,-79.50870069999996"
Guitar - Private,Edgehill House,1,0,10,"43.6714413,-79.51326899999998"
Ultra Swim 2,East York Community Centre,0.6667,4,36,"43.6909001,-79.34910789999998"
Ultra Swim 2,East York Community Centre,1,0,54,"43.6909001,-79.34910789999998"
Ultra Swim 2,East York Community Centre,1,1,54,"43.6909001,-79.34910789999998"
Ultra Swim 9 - Small Group,Annette Community Recreation Centre,0.25,0,9,"43.6551041,-79.45940150000001"
Bronze Cross,Cummer Park Community Centre,1,0,108,"43.79916619999999,-79.37119469999999"
Bronze Cross,Cummer Park Community Centre,0.9167,0,99,"43.79916619999999,-79.37119469999999"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Bronze Medallion & Emergency First Aid (CPR B),West Deane Park - Outdoor Pool,0.6875,0,99,"43.6604251,-79.56104640000001"
Bronze Medallion & Emergency First Aid (CPR B),West Deane Park - Outdoor Pool,0.6875,0,99,"43.6604251,-79.56104640000001"
Ultra Swim 4,The Elms Community School,1,4,72,"43.72223289999999,-79.55296820000001"
Tri Private Ultra Swim 1,East York Community Centre,1,0,27,"43.6909001,-79.34910789999998"
Tri Private Ultra Swim 1,East York Community Centre,0.6667,0,18,"43.6909001,-79.34910789999998"
Bronze Star & Basic 1st Aid (CPR-A),East York Community Centre,1,1,108,"43.6909001,-79.34910789999998"
Stroke Improvement,The Elms Community School,1,9,72,"43.72223289999999,-79.55296820000001"
Guardian Swim 3,Annette Community Recreation Centre,0.3333,0,9,"43.6551041,-79.45940150000001"
Guardian Swim 1,Annette Community Recreation Centre,0.5,0,18,"43.6551041,-79.45940150000001"
Guardian Swim 1,Annette Community Recreation Centre,0.75,0,27,"43.6551041,-79.45940150000001"
Preschool Swim 2: Stingray,Annette Community Recreation Centre,0.5,0,18,"43.6551041,-79.45940150000001"
Guardian Swim 1,Annette Community Recreation Centre,0.5,0,18,"43.6551041,-79.45940150000001"
Guardian Swim 1,Annette Community Recreation Centre,0.3333,0,9,"43.6551041,-79.45940150000001"
Preschool Swim 2: Stingray,Annette Community Recreation Centre,0.25,0,9,"43.6551041,-79.45940150000001"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,East York Community Centre,1,1,9,"43.6909001,-79.34910789999998"
Preschool Swim 3: Otter,East York Community Centre,1,0,36,"43.6909001,-79.34910789999998"
Preschool Swim 1: Penguin,Centennial Recreation Centre-Scarborough,1,32,48,"43.7733929,-79.23595169999999"
Bronze Star & Basic 1st Aid (CPR-A),Centennial Recreation Centre-Scarborough,0.75,23,72,"43.7733929,-79.23595169999999"
Ultra Swim 4,The Elms Community School,0.875,0,63,"43.72223289999999,-79.55296820000001"
Bronze Medallion & Emergency First Aid (CPR B),Sunnyside - Gus Ryder Outdoor Pool,0.625,0,90,"43.6374204,-79.45825880000001"
Bronze Medallion & Emergency First Aid (CPR B),Sunnyside - Gus Ryder Outdoor Pool,0.75,0,108,"43.6374204,-79.45825880000001"
Ultra Swim 4,The Elms Community School,0.875,3,63,"43.72223289999999,-79.55296820000001"
Preschool Swim 3: Otter,East York Community Centre,0.75,0,27,"43.6909001,-79.34910789999998"
Ultra Swim 2,East York Community Centre,1,0,48,"43.6909001,-79.34910789999998"
Ultra Swim 1,East York Community Centre,1,0,48,"43.6909001,-79.34910789999998"
Ultra Swim 4 - Small Group,Lambton-Kingsway Outdoor Pool,0.75,0,27,"43.6580361,-79.5078221"
Ultra Swim 4 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,36,"43.6580361,-79.5078221"
Ultra Swim 4 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,36,"43.6580361,-79.5078221"
Ultra Swim 7 - Small Group,Lambton-Kingsway Outdoor Pool,0.5,0,9,"43.6580361,-79.5078221"
Ultra Swim 9 - Small Group,Lambton-Kingsway Outdoor Pool,0.75,0,27,"43.6580361,-79.5078221"
Ultra Swim 8 - Small Group,Lambton-Kingsway Outdoor Pool,0.75,0,27,"43.6580361,-79.5078221"
Ultra Swim 9 - Small Group,Lambton-Kingsway Outdoor Pool,0.25,0,9,"43.6580361,-79.5078221"
Ultra Swim 8 - Small Group,Lambton-Kingsway Outdoor Pool,0.5,0,18,"43.6580361,-79.5078221"
